Fiscal Year AD,Fiscal Year BS,Petroleum Product,Import of petrol product in KL
2014/2015 AD,2071/72,Petrol,287473
2014/2015 AD,2071/72,Diesel,921714
2014/2015 AD,2071/72,Kerosene,19653
2014/2015 AD,2071/72,Aviation Turbine Fuel,141404
2014/2015 AD,2071/72,Light Diesel Oil,0
2014/2015 AD,2071/72,Furnace Oil,0
2014/2015 AD,2071/72,LPG IN MT,258299
2013/2014 AD,2070/71,Petrol,253381
2013/2014 AD,2070/71,Diesel,808567
2013/2014 AD,2070/71,Kerosene,18409
2013/2014 AD,2070/71,Aviation Turbine Fuel,125678
2013/2014 AD,2070/71,Light Diesel Oil,0
2013/2014 AD,2070/71,Furnace Oil,0
2013/2014 AD,2070/71,LPG IN MT,232660
2012/2013 AD,2069/70,Petrol,223087
2012/2013 AD,2069/70,Diesel,721203
2012/2013 AD,2069/70,Kerosene,24065
2012/2013 AD,2069/70,Aviation Turbine Fuel,115896
2012/2013 AD,2069/70,Light Diesel Oil,260
2012/2013 AD,2069/70,Furnace Oil,2456
2012/2013 AD,2069/70,LPG IN MT,207038
2011/2012 AD,2068/69,Petrol,202467
2011/2012 AD,2068/69,Diesel,653560
2011/2012 AD,2068/69,Kerosene,41609
2011/2012 AD,2068/69,Aviation Turbine Fuel,109904
2011/2012 AD,2068/69,Light Diesel Oil,0
2011/2012 AD,2068/69,Furnace Oil,440
2011/2012 AD,2068/69,LPG IN MT,181411
2010/2011 AD ,2067/68,Petrol,188082
2010/2011 AD ,2067/68,Diesel,652764
2010/2011 AD ,2067/68,Kerosene,43399
2010/2011 AD ,2067/68,Aviation Turbine Fuel,99990
2010/2011 AD ,2067/68,Light Diesel Oil,228
2010/2011 AD ,2067/68,Furnace Oil,1434
2010/2011 AD ,2067/68,LPG IN MT,159286
2009/2010 AD,2066/67,Petrol,162902
2009/2010 AD,2066/67,Diesel,608065
2009/2010 AD,2066/67,Kerosene,52714
2009/2010 AD,2066/67,Aviation Turbine Fuel,82824
2009/2010 AD,2066/67,Light Diesel Oil,240
2009/2010 AD,2066/67,Furnace Oil,2612
2009/2010 AD,2066/67,LPG IN MT,141171
2008/2009 AD,2065/66,Petrol,128372
2008/2009 AD,2065/66,Diesel,489219
2008/2009 AD,2065/66,Kerosene,77799
2008/2009 AD,2065/66,Aviation Turbine Fuel,74306
2008/2009 AD,2065/66,Light Diesel Oil,380
2008/2009 AD,2065/66,Furnace Oil,2188
2008/2009 AD,2065/66,LPG IN MT,115813
2007/2008 AD,2064/65,Petrol,101624
2007/2008 AD,2064/65,Diesel,303212
2007/2008 AD,2064/65,Kerosene,152168
2007/2008 AD,2064/65,Aviation Turbine Fuel,68534
2007/2008 AD,2064/65,Light Diesel Oil,308
2007/2008 AD,2064/65,Furnace Oil,2940
2007/2008 AD,2064/65,LPG IN MT,96837
2006/2007 AD,2063/64,Petrol,98435
2006/2007 AD,2063/64,Diesel,299419
2006/2007 AD,2063/64,Kerosene,192576
2006/2007 AD,2063/64,Aviation Turbine Fuel,63650
2006/2007 AD,2063/64,Light Diesel Oil,180
2006/2007 AD,2063/64,Furnace Oil,4624
2006/2007 AD,2063/64,LPG IN MT,93562
2005/2006 AD,2062/63,Petrol,81817
2005/2006 AD,2062/63,Diesel,292381
2005/2006 AD,2062/63,Kerosene,225007
2005/2006 AD,2062/63,Aviation Turbine Fuel,66100
2005/2006 AD,2062/63,Light Diesel Oil,292
2005/2006 AD,2062/63,Furnace Oil,3754
2005/2006 AD,2062/63,LPG IN MT,81005
2004/2005 AD,2061/62,Petrol,76097
2004/2005 AD,2061/62,Diesel,308076
2004/2005 AD,2061/62,Kerosene,231463
2004/2005 AD,2061/62,Aviation Turbine Fuel,68340
2004/2005 AD,2061/62,Light Diesel Oil,88
2004/2005 AD,2061/62,Furnace Oil,2651
2004/2005 AD,2061/62,LPG IN MT,77594
2003/2004 AD,2060/61,Petrol,67965
2003/2004 AD,2060/61,Diesel,302644
2003/2004 AD,2060/61,Kerosene,313127
2003/2004 AD,2060/61,Aviation Turbine Fuel,64394
2003/2004 AD,2060/61,Light Diesel Oil,590
2003/2004 AD,2060/61,Furnace Oil,12672
2003/2004 AD,2060/61,LPG IN MT,66142
2002/2003 AD,2059/60,Petrol,68482
2002/2003 AD,2059/60,Diesel,301672
2002/2003 AD,2059/60,Kerosene,351696
2002/2003 AD,2059/60,Aviation Turbine Fuel,53546
2002/2003 AD,2059/60,Light Diesel Oil,610
2002/2003 AD,2059/60,Furnace Oil,14502
2002/2003 AD,2059/60,LPG IN MT,56079
2001/2002 AD,2058/59,Petrol,63578
2001/2002 AD,2058/59,Diesel,287657
2001/2002 AD,2058/59,Kerosene,390113
2001/2002 AD,2058/59,Aviation Turbine Fuel,47274
2001/2002 AD,2058/59,Light Diesel Oil,2413
2001/2002 AD,2058/59,Furnace Oil,18255
2001/2002 AD,2058/59,LPG IN MT,48757
2000/2001 AD,2057/58,Petrol,60653
2000/2001 AD,2057/58,Diesel,333791
2000/2001 AD,2057/58,Kerosene,325198
2000/2001 AD,2057/58,Aviation Turbine Fuel,65620
2000/2001 AD,2057/58,Light Diesel Oil,3418
2000/2001 AD,2057/58,Furnace Oil,20999
2000/2001 AD,2057/58,LPG IN MT,40102
